"V1"	"V2"
"326"	-0.245186	-0.294348
"327"	-0.251793	-0.148317
"328"	-0.290239	-0.405858
"329"	-0.17899	0.214183
"330"	-0.229266	-0.278461
"331"	0.158086	-0.0630633
"332"	-0.0910407	-0.110942
"333"	-0.350408	-0.360201
"334"	-0.407654	-0.38345
"335"	-0.101574	0.136461
"336"	-0.147323	-0.472115
"337"	-0.282996	-0.27152
"338"	-0.176947	0.179025
"339"	-0.330158	-0.137197
"340"	-0.154206	-0.253044
"341"	-0.531079	-0.585649
"342"	-0.361043	-0.342377
"343"	-0.11131	-0.434279
"344"	-0.235966	-0.219898
"345"	-0.478196	-0.515506
"346"	-0.356403	-0.233476
"347"	0.0620467	-0.400103
"348"	-0.138435	-0.401836
"349"	-0.331402	-0.0405378
"350"	0.208837	-0.449738
"351"	-0.701507	-0.234681
"352"	-0.281654	-0.523153
"353"	-0.502988	0.0624623
"354"	-0.249792	-0.224292
"355"	-0.364293	-0.433739
"356"	-0.579125	-0.499117
"357"	-0.115367	-0.348641
"358"	0.282878	-0.112804
"359"	-0.353146	-0.358276
"360"	-0.157873	-0.4531
"361"	-0.369095	-0.356165
"362"	-0.26863	0.0392276
"363"	-0.320764	-0.253857
"364"	-0.437234	-0.231306
"365"	-0.46064	-0.593328
"366"	-0.173766	-0.42334
"367"	-0.324802	-0.329382
"368"	-0.000470342	-0.518105
"369"	-0.284348	-0.125041
"370"	-0.302944	-0.186405
"371"	-0.362957	-0.262033
"372"	-0.427239	-0.258094
"373"	2.04024	-0.392472
"374"	-0.120741	-0.200757
"375"	-0.229148	-0.255474
"376"	-0.252873	-0.347266
"377"	-0.393479	-0.0390151
"378"	-0.744587	-0.346712
"379"	-0.308581	-0.579631
"380"	-0.405887	-0.12322
"381"	-0.487946	-0.390859
"382"	-0.54115	-0.349376
"383"	-0.123338	0.0485611
"384"	-0.194212	0.0809362
"385"	-0.21485	-0.111679
"386"	-0.383709	-0.0668245
"387"	-0.429069	-0.147187
"388"	-0.165006	-0.161439
"389"	-0.157724	-0.291721
"390"	-0.0443847	-0.30273
"391"	-0.159385	-0.14221
"392"	-0.363681	-0.243136
"393"	-0.226913	-0.306873
"394"	-0.320935	-0.408362
"395"	-0.234729	-0.137216
"396"	-0.0777147	0.0175877
"397"	-0.133306	-0.200198
"398"	-0.244059	-0.202185
"399"	-0.0902048	-0.156186
"400"	-0.277193	-0.355198
"401"	-0.315084	-0.502507
"402"	-0.353777	-0.126944
"403"	0.275658	-0.437011
"404"	-0.17388	-0.354796
"405"	-0.247829	-0.447233
"406"	-0.226511	0.135201
"407"	-0.152048	-0.811673
"408"	-0.304114	-0.133524
"409"	-0.468755	-0.425316
"410"	-0.202259	-0.150299
"411"	0.0576482	-0.255055
"412"	-0.179846	-0.161049
"413"	-0.217774	-0.351078
"414"	-0.230714	-0.318538
"415"	0.0722573	-0.00440761
"416"	-0.754857	-0.206343
"417"	-0.327411	-0.449657
"418"	-0.243477	-0.198556
"419"	-0.173078	-0.28694
"420"	-0.389583	-0.251098
"421"	-0.315137	-0.584548
"422"	-0.244844	-0.302263
"423"	-0.0718405	-0.321621
"424"	-0.11953	-0.098024
"425"	-0.473019	-0.336437
"426"	-0.251616	-0.0651006
"427"	-0.318743	-0.213012
"428"	-0.466228	-0.374894
"429"	0.0813815	-0.252475
"430"	0.118029	-0.02371
"431"	-0.381428	-0.337742
"432"	-0.0564593	-0.162921
"433"	-0.425168	0.418435
"434"	-0.238325	-0.335066
"435"	-0.266491	-0.186137
"436"	-0.294413	-0.349305
"437"	-0.40087	-0.366277
"438"	0.368089	-0.18264
"439"	0.0805498	0.299111
"440"	-0.245275	-0.192962
"441"	-0.297793	-0.167814
"442"	-0.198024	-0.395343
"443"	-0.371804	-0.0401794
"444"	0.30492	-0.105028
"445"	0.236895	0.00990189
"446"	-0.121061	-0.0436952
"447"	0.175495	-0.0584419
"448"	-0.336984	-0.194451
"449"	-0.251844	-0.247414
"450"	-0.133591	-0.147926
"451"	-0.105781	-0.348105
"452"	-0.331037	-0.251365
"453"	-0.117848	0.332808
"454"	-0.236192	-0.189845
"455"	-0.161049	-0.142891
"456"	-0.141651	-0.313284
"457"	0.182107	0.124429
"458"	-0.282803	-0.312475
"459"	-0.211696	-0.258219
"460"	-0.298632	-0.467062
"461"	-0.154009	-0.315007
"462"	-0.403638	-0.139933
"463"	-0.472461	-0.446911
"464"	-0.311915	-0.316248
"465"	-0.0784589	-0.494279
"466"	-0.328793	0.0120779
"467"	-0.297793	-0.176582
"468"	-0.601368	-0.28305
"469"	-0.181705	-0.211253
"470"	-0.419858	-0.335193
"471"	-0.123553	-0.226683
"472"	-0.296869	-0.256332
"473"	0.030643	-0.553049
"474"	-0.109492	-0.398211
"475"	-0.11954	-0.807951
"476"	-0.100511	-0.272969
"477"	-0.290179	-0.200449
"478"	-0.294302	-0.248173
"479"	-0.633492	-0.330609
"480"	-0.552695	-0.0597613
"481"	-0.370949	-0.068465
"482"	-0.00855687	-0.461534
"483"	0.0599389	-0.653609
"484"	-0.514078	-0.1828
"485"	-0.120672	-0.207688
"486"	-0.278461	-0.251648
"487"	-0.0501798	-0.195311
"488"	-0.186662	-0.146684
"489"	-0.14047	-0.469
"490"	-0.378976	-0.265306
"491"	0.301292	0.0378164
"492"	-0.386901	-0.292445
"493"	-0.0786886	-0.478284
"494"	-0.254186	-0.0851754
"495"	-0.207747	-0.0401991
"496"	-0.328979	-0.277051
"497"	-0.285349	-0.265941
"498"	-0.159653	-0.237706
"499"	-0.543769	-0.581428
"500"	-0.189062	-0.0841619
"501"	-0.19335	-0.0756917
"502"	-0.170933	-0.0248561
"503"	-0.217418	-0.250771
"504"	-0.272775	0.213029
"505"	-0.0479811	-0.360999
"506"	-0.206394	-0.0444247
"507"	-0.398807	-0.183293
"508"	-0.0445014	-0.267867
"509"	-0.363984	-0.311135
"510"	-0.293491	-0.0839758
"511"	-0.310859	-0.259806
"512"	-0.190464	-0.257524
"513"	0.129902	-0.206822
"514"	-0.205922	-0.211023
"515"	-0.85185	-0.132797
"516"	-0.646953	-0.741851
"517"	-0.646989	-0.253482
"518"	-0.28726	-0.260264
"519"	-0.114966	-0.0774582
"520"	-0.521649	-0.0424872
"521"	-0.31839	-0.0784585
"522"	-0.568069	-0.32539
"523"	0.112859	-0.240225
"524"	-0.376672	-0.266105
"525"	-0.21274	-0.30647
"526"	-0.29049	-0.191263
"527"	-0.270626	-0.297415
"528"	-0.206659	-0.0943206
"529"	-0.0639873	-0.615647
"530"	-0.165373	-0.354966
"531"	-0.00131442	-0.686999
"532"	-0.219665	-0.323835
"533"	-0.374611	-0.110477
"534"	-0.359718	-0.221148
"535"	-0.548509	-0.655904
"536"	-0.382291	-0.463047
"537"	-0.637494	-0.822241
"538"	-0.214052	-0.392746
"539"	-0.360445	-0.150973
"540"	-0.135452	-0.172279
"541"	-0.107896	-0.148736
"542"	-0.275904	-0.0547045
"543"	-0.266978	-0.294616
"544"	-0.25456	-0.127284
"545"	-0.306046	-0.21527
"546"	-0.0943777	-0.30616
"547"	-0.257512	-0.41897
"548"	-0.0923134	-0.00903222
"549"	-0.186103	-0.194827
"550"	-0.295001	-0.18793
"551"	-0.119625	-0.443682
"552"	-0.166807	-0.0604104
"553"	-0.0629142	-0.1233
"554"	-0.235872	0.00338895
"555"	-0.0793656	-0.401843
"556"	-0.27367	-0.20366
"557"	-0.108371	-0.223085
"558"	-0.0970472	-0.198474
"559"	-0.308666	-0.250671
"560"	-0.225318	0.156289
"561"	-0.194453	-0.306362
"562"	-0.427666	-0.403506
"563"	-0.230848	-0.0434344
"564"	-0.425347	-0.294403
"565"	-0.052757	-0.222903
"566"	0.00475681	-0.147017
"567"	-0.484534	-0.456361
"568"	-0.280715	-0.25028
"569"	-0.346048	-0.403805
"570"	-0.296501	-0.262193
"571"	-0.120008	-0.223975
"572"	-0.441857	-0.155207
"573"	-0.401803	-0.247516
"574"	-0.225812	-0.445008
"575"	-0.30264	-0.305222
"576"	-0.0615444	-0.212992
"577"	-0.250487	-0.27542
"578"	-0.0909214	-0.300233
"579"	-0.201175	-0.410991
"580"	-0.214634	-0.134419
"581"	-0.283417	-0.0449018
"582"	-0.239852	-0.423537
"583"	-0.164167	-0.378411
"584"	-0.00135586	-0.197482
"585"	-0.194106	-0.317239
