"V1"	"V2"
"295"	-0.394063	-0.464617
"296"	-0.999934	-0.195449
"297"	-0.504177	-0.280996
"298"	-0.640749	-0.717148
"299"	-0.2618	-0.692534
"300"	-0.519847	0.0477434
"301"	0.409048	0.26418
"302"	0.559765	-0.0888877
"303"	-0.518752	-0.737878
"304"	-0.464217	0.331277
"305"	-0.686192	-1.22102
"306"	-0.670739	-0.382807
"307"	-0.276123	-0.479292
"308"	-0.1944	-0.512896
"309"	-0.772649	-0.387853
"310"	-0.726427	-1.07183
"311"	-0.164634	-0.355701
"312"	-0.765226	-0.552483
"313"	-0.479378	-0.555628
"314"	-0.540637	-0.572228
"315"	-0.20046	-0.521505
"316"	-0.530232	-0.369183
"317"	-0.688902	-0.0850249
"318"	-1.22324	-0.481398
"319"	-0.431107	-0.27939
"320"	-0.439435	-0.491373
"321"	-0.540204	-0.359744
"322"	-0.0326182	-0.47039
"323"	-0.497079	-0.474307
"324"	-0.639422	-0.765203
"325"	-0.575334	-0.621795
"326"	-0.703537	-0.762481
"327"	-0.552005	-0.517624
"328"	-0.628752	-0.656445
"329"	-0.227506	-0.129112
"330"	-0.471757	-0.683538
"331"	-0.171336	-0.341334
"332"	-0.414577	0.315206
"333"	-0.937327	-0.66017
"334"	-0.627003	-0.751253
"335"	-0.419272	-0.286474
"336"	-0.849643	-0.761163
"337"	-1.02464	-0.904173
"338"	-0.486475	-0.371341
"339"	-0.708268	-0.405852
"340"	-0.373378	-0.448766
"341"	-0.482297	-0.984003
"342"	-0.304497	-0.555123
"343"	-0.606461	-0.612092
"344"	-0.429304	-0.79091
"345"	-0.653439	-0.979624
"346"	-0.543352	-0.330576
"347"	-0.873534	-0.55057
"348"	-0.0135075	-0.702478
"349"	-0.912336	-0.275847
"350"	-0.368051	-0.500266
"351"	-1.05738	-0.560135
"352"	-0.460429	-0.732671
"353"	-1.05934	-0.679105
"354"	-0.708519	-0.258742
"355"	-0.483396	-0.540385
"356"	-0.780255	-0.911498
"357"	-0.61921	-0.397267
"358"	-0.229546	-0.553404
"359"	-0.189476	-0.627621
"360"	-0.422894	-0.843391
"361"	-0.0278098	-0.703297
"362"	-0.649707	0.0609205
"363"	-0.612853	-0.308017
"364"	-0.658102	0.0219045
"365"	-0.425452	-1.18145
"366"	-0.418884	-0.655687
"367"	-0.573343	-0.315821
"368"	-0.345385	-0.44043
"369"	-0.449365	-0.482913
"370"	-0.584552	-0.637953
"371"	-0.813919	-0.612505
"372"	-0.830925	-0.330174
"373"	0.952967	-0.685057
"374"	-0.373633	-0.464187
"375"	-0.823635	-0.379046
"376"	-0.417644	-0.605652
"377"	-0.261076	-0.230539
"378"	-0.869129	-0.480853
"379"	-0.53823	-0.702279
"380"	-0.814834	-0.0982682
"381"	-0.795677	-0.765722
"382"	-0.744631	-0.37632
"383"	-0.0928368	-0.233559
"384"	-0.46634	0.29592
"385"	-0.179434	-0.469746
"386"	-0.621864	-0.357285
"387"	-0.734575	-0.148576
"388"	-0.34652	-0.540904
"389"	-0.679462	-0.576786
"390"	-0.241155	-0.341201
"391"	-0.863552	-0.600829
"392"	-0.654659	-0.46662
"393"	-0.705708	-0.368159
"394"	-0.705774	-0.442447
"395"	-0.364864	-0.726588
"396"	-0.246505	-0.39225
"397"	-0.327509	-0.404441
"398"	-0.445366	-0.429037
"399"	-0.374805	-0.216278
"400"	-0.663196	-0.611936
"401"	-0.468545	-0.7665
"402"	-0.523116	-0.410235
"403"	0.155586	-0.292494
"404"	-0.411391	-0.334557
"405"	-0.412304	-1.03488
"406"	-0.309987	0.276014
"407"	-0.289426	-0.809454
"408"	-0.515083	-0.360457
"409"	-0.41391	-0.538984
"410"	-0.129681	-0.497468
"411"	-0.695334	-0.719892
"412"	-0.589249	-0.420527
"413"	-0.520867	-0.52268
"414"	-0.632686	-0.913936
"415"	-0.511557	-0.238242
"416"	-0.490501	-0.117934
"417"	-0.194389	-0.409713
"418"	-0.434824	-0.500195
"419"	-0.45904	-0.507485
"420"	-0.641952	-0.536582
"421"	-0.66237	-0.431879
"422"	-0.316268	-0.417121
"423"	-0.791541	-0.363813
"424"	-0.385806	-0.415227
"425"	-0.634091	-0.460629
"426"	-0.226082	-0.473687
"427"	-0.188887	-0.0445621
"428"	-0.700474	-0.591258
"429"	-0.304054	-1.08292
"430"	-0.201014	-0.675015
"431"	-0.859619	-0.568604
"432"	-0.626135	-0.0693284
"433"	-0.774516	0.0170979
"434"	-0.377525	-0.632709
"435"	-0.482403	0.232729
"436"	-0.394543	-0.49133
"437"	-0.673072	-0.315563
"438"	-0.276003	-0.428773
"439"	-0.196191	-0.133244
"440"	-0.287193	-0.308629
"441"	-0.475881	-0.041642
"442"	-0.779021	-0.53683
"443"	-0.402518	-0.220441
"444"	-0.087964	-0.330081
"445"	-0.299601	-0.335352
"446"	-0.409267	-0.759502
"447"	-0.157197	-0.458234
"448"	-0.662383	-0.551551
"449"	-0.434127	-0.4932
"450"	-0.311932	-0.527722
"451"	-0.588688	-0.534159
"452"	-0.631541	-0.344848
"453"	-0.405367	-0.174374
"454"	-0.621812	-0.191025
"455"	-0.428379	-0.420468
"456"	-0.348661	-0.334973
"457"	0.390481	-0.116749
"458"	-0.496108	-0.513982
"459"	-0.209121	-0.408028
"460"	-0.649787	-0.933142
"461"	-0.720151	-0.194569
"462"	-1.18156	-0.593924
"463"	-0.708982	-0.884615
"464"	-0.310088	-0.436597
"465"	-0.559621	-0.902383
"466"	-0.695613	-0.52704
"467"	-0.752244	-0.74796
"468"	-0.912593	-0.388692
"469"	-0.248689	-0.413691
"470"	-0.0515584	-0.187518
"471"	-0.106917	-0.453502
"472"	-0.455535	-0.440122
"473"	-0.546801	-0.663126
"474"	-0.135002	-0.631134
"475"	-0.326339	-0.991331
"476"	-0.624033	-0.371886
"477"	-0.697193	-0.512726
"478"	-0.486518	-0.317165
"479"	-0.430656	-0.659846
"480"	-0.379785	-0.547321
"481"	-0.464478	-0.176766
"482"	-0.733301	-0.600068
"483"	-0.366764	-1.1315
